,id,username,model_name,timestamp,stepname,app_name,accelerometer_x,accelerometer_y,accelerometer_z,Inclination,year,month,day,time,Date,Day_name
28,25075,junaid,impulse_bundle,2020-02-20 14:25:40,Introduction,Engineering_Mechanics_AR,0.009879909000000001,-0.9551688,-0.3260287,108.84542579556812,2020,02,20,14:25:40,2020-02-20,Thursday
29,25074,junaid,couple_bundle,2020-02-20 14:24:25,Introduction,Engineering_Mechanics_AR,0.01189398,-0.9557180000000001,-0.321024,108.56577058202453,2020,02,20,14:24:25,2020-02-20,Thursday
30,25073,junaid,couple_bundle,2020-02-20 14:23:58,Definition,Engineering_Mechanics_AR,0.01097849,-0.9563284,-0.32230570000000003,108.62391295097248,2020,02,20,14:23:58,2020-02-20,Thursday
31,25072,junaid,resultant_forces_bundle,2020-02-20 14:23:02,Introduction,Engineering_Mechanics_AR,0.008598225,-0.9553519,-0.3301789,109.06493055466633,2020,02,20,14:23:02,2020-02-20,Thursday
32,25071,junaid,resultant_forces_bundle,2020-02-20 14:22:31,Definition,Engineering_Mechanics_AR,0.0079879,-0.9531546999999999,-0.3293855,109.06319868056323,2020,02,20,14:22:31,2020-02-20,Thursday
33,25070,junaid,characteristics_of_forces_bundle,2020-02-20 14:21:37,WORKING,Engineering_Mechanics_AR,0.01134469,-0.953765,-0.3293244,109.04797121169608,2020,02,20,14:21:37,2020-02-20,Thursday
34,25069,junaid,characteristics_of_forces_bundle,2020-02-20 14:21:07,Introduction,Engineering_Mechanics_AR,0.01030714,-0.9527885,-0.3282259,109.00727384894523,2020,02,20,14:21:07,2020-02-20,Thursday
35,25068,junaid,angle_of_friction_bundle,2020-02-20 14:19:51,Working,Engineering_Mechanics_AR,0.009330615,-0.9521782,-0.32865300000000003,109.04173333158337,2020,02,20,14:19:51,2020-02-20,Thursday
36,25067,junaid,angle_of_friction_bundle,2020-02-20 14:18:10,Introduction,Engineering_Mechanics_AR,0.009574746,-0.9538871999999999,-0.3275545,108.95102812519309,2020,02,20,14:18:10,2020-02-20,Thursday
37,25066,junaid,3rdlaw_bundle,2020-02-20 14:17:08,Reaction,Engineering_Mechanics_AR,0.007316542,-0.9532768,-0.330423,109.11672034319551,2020,02,20,14:17:08,2020-02-20,Thursday
38,25065,junaid,3rdlaw_bundle,2020-02-20 14:16:20,Action,Engineering_Mechanics_AR,0.009696811,-0.9530327,-0.3298127,109.08810678852605,2020,02,20,14:16:20,2020-02-20,Thursday
39,25064,junaid,3rdlaw_bundle,2020-02-20 14:16:07,Introduction,Engineering_Mechanics_AR,0.01012404,-0.9534599,-0.3291413,109.04405060008456,2020,02,20,14:16:07,2020-02-20,Thursday
40,25063,junaid,2ndlaw_bundle,2020-02-20 14:15:25,Smaller Mass,Engineering_Mechanics_AR,0.007072411,-0.9532768,-0.32847,109.01189759636335,2020,02,20,14:15:25,2020-02-20,Thursday
41,25062,junaid,2ndlaw_bundle,2020-02-20 14:14:50,Introduction,Engineering_Mechanics_AR,0.008232029,-0.9527885,-0.3286531,109.03060815720713,2020,02,20,14:14:50,2020-02-20,Thursday
42,25061,junaid,1stlaw_bundle,2020-02-20 14:14:16,Working,Engineering_Mechanics_AR,0.009147518,-0.9541312,-0.3269442,108.91381519278329,2020,02,20,14:14:16,2020-02-20,Thursday
43,25060,junaid,1stlaw_bundle,2020-02-20 14:13:37,Introduction,Engineering_Mechanics_AR,0.004753175,-0.9537040999999999,-0.3306671,109.1221703983401,2020,02,20,14:13:37,2020-02-20,Thursday
44,25059,junaid,2ndlaw_bundle,2020-02-20 14:12:47,Introduction,Engineering_Mechanics_AR,0.00920855,-0.9721969000000001,-0.26835290000000006,105.43030011926012,2020,02,20,14:12:47,2020-02-20,Thursday
45,25058,junaid,2ndlaw_bundle,2020-02-20 14:12:27,Smaller Mass,Engineering_Mechanics_AR,0.01103953,-1.006558,-0.1172364,96.64305742079176,2020,02,20,14:12:27,2020-02-20,Thursday
46,25057,junaid,2ndlaw_bundle,2020-02-20 14:11:53,Introduction,Engineering_Mechanics_AR,0.01622729,-0.9565115,-0.31833859999999997,108.40559656114483,2020,02,20,14:11:53,2020-02-20,Thursday
47,25056,junaid,1stlaw_bundle,2020-02-20 14:11:20,Working,Engineering_Mechanics_AR,0.01665452,-0.9977695,-0.1730201,99.8363117354881,2020,02,20,14:11:20,2020-02-20,Thursday
48,25055,junaid,1stlaw_bundle,2020-02-20 14:10:42,Introduction,Engineering_Mechanics_AR,0.01177192,-0.9505302999999999,-0.33280329999999997,109.29499585436272,2020,02,20,14:10:42,2020-02-20,Thursday
49,25054,junaid,d14_1a_bundle,2020-02-17 19:03:22,Step 14,Engineering_Drawing_AR,-0.01190871,-0.8174794,-0.5793136999999999,125.32074880384967,2020,02,17,19:03:22,2020-02-17,Monday
50,25053,junaid,d14_1a_bundle,2020-02-17 19:03:09,Step 14,Engineering_Drawing_AR,-0.004645834000000001,-0.8174184,-0.578032,125.26535091261485,2020,02,17,19:03:09,2020-02-17,Monday
51,25052,junaid,d14_1a_bundle,2020-02-17 19:02:57,Step 13,Engineering_Drawing_AR,-0.01087115,-0.8115593000000001,-0.5851728,125.79095571846356,2020,02,17,19:02:57,2020-02-17,Monday
52,25051,junaid,d14_1a_bundle,2020-02-17 19:02:40,Step 12,Engineering_Drawing_AR,-0.009284305999999999,-0.8161366999999999,-0.5798019,125.38909388353947,2020,02,17,19:02:40,2020-02-17,Monday
53,25050,junaid,d14_1a_bundle,2020-02-17 19:02:28,Step 11,Engineering_Drawing_AR,-0.01502137,-0.8193103999999999,-0.5832808,125.44315202109337,2020,02,17,19:02:28,2020-02-17,Monday
54,25049,junaid,d14_1a_bundle,2020-02-17 19:02:11,Step 10,Engineering_Drawing_AR,-0.005134095,-0.8255358,-0.5656424,124.41772976878244,2020,02,17,19:02:11,2020-02-17,Monday
