,id,username,model_name,timestamp,stepname,app_name,accelerometer_x,accelerometer_y,accelerometer_z,lat,lon
807,24296,drone_ar_20_044,pluto_flying_principles_bundle,2020-02-08 09:22:25,5.Yaw,Drone_Fundamentals,-0.02034267,-0.8093188,-0.7248036,0.0,0.0
808,24295,drone_ar_20_044,pluto_flying_principles_bundle,2020-02-08 09:22:17,4.Pitch,Drone_Fundamentals,-0.006181843,-0.8715745,-0.622264,0.0,0.0
809,24294,drone_ar_20_044,pluto_flying_principles_bundle,2020-02-08 09:22:07,3.Roll,Drone_Fundamentals,-0.01082173,-0.8976975,-0.5951638000000001,0.0,0.0
810,24293,drone_ar_20_044,pluto_flying_principles_bundle,2020-02-08 09:21:51,2.Throttle,Drone_Fundamentals,-0.02620242,-0.6508719000000001,-0.7953603,0.0,0.0
811,24292,drone_ar_20_044,pluto_flying_principles_bundle,2020-02-08 09:21:50,1.Propellers,Drone_Fundamentals,-0.02717801,-0.6660084,-0.7902334,0.0,0.0
812,24291,drone_ar_20_044,pluto_flying_principles_bundle,2020-02-08 09:21:49,1.Propellers,Drone_Fundamentals,-0.02376112,-0.6642984000000001,-0.8285629999999999,0.0,0.0
813,24290,drone_ar_20_044,pluto_flying_principles_bundle,2020-02-08 09:21:40,1.Propellers,Drone_Fundamentals,0.05363250000000001,-0.6774819999999999,-0.8043925999999999,0.0,0.0
814,24289,drone_ar_20_044,drona_pluto_bundle,2020-02-08 09:20:45,Step 3,Drone_Fundamentals,-0.05208121,-0.6166921,-0.7882791,0.0,0.0
815,24288,drone_ar_20_044,drona_pluto_bundle,2020-02-08 09:20:58,Step 2,Drone_Fundamentals,-0.03547908,-0.743889,-0.7697242,0.0,0.0
816,24287,drone_ar_20_044,drona_pluto_bundle,2020-02-08 09:20:31,Step 2,Drone_Fundamentals,-0.0554981,-0.7018966999999999,-0.7667959,0.0,0.0
817,24286,drone_ar_20_044,drona_pluto_bundle,2020-02-08 09:20:20,Step 1,Drone_Fundamentals,-0.04671002,-0.5258721,-0.8791007,0.0,0.0
818,24285,drone_ar_20_044,drona_pluto_bundle,2020-02-08 09:20:13,Step 4,Drone_Fundamentals,-0.03914182,-0.6362225,-0.8527333,0.0,0.0
819,24284,drone_ar_20_044,drona_pluto_bundle,2020-02-08 09:20:11,Step 3,Drone_Fundamentals,-0.03157361,-0.615715,-0.8539532,0.0,0.0
820,24283,drone_ar_20_044,drona_pluto_bundle,2020-02-08 09:19:32,Step 2,Drone_Fundamentals,-0.02571385,-0.5563892,-0.8529776,0.0,0.0
821,24282,drone_ar_20_044,drona_pluto_bundle,2020-02-08 09:19:28,Step 1,Drone_Fundamentals,-0.04597716,-0.5805595,-0.8744608,0.0,0.0
822,24281,drone_ar_20_044,drona_pluto_bundle,2020-02-08 09:19:13,Step 4,Drone_Fundamentals,-0.07942415,-0.5830008000000001,-0.8517562,0.0,0.0
823,24280,drone_ar_20_044,drona_pluto_bundle,2020-02-08 09:19:10,Step 3,Drone_Fundamentals,-0.04573288,-0.577141,-0.8649399,0.0,0.0
